created_at,provider,model,status_code,error_message
2026-07-16 19:51:06.853703+00,gemini,gemini-2.5-flash,404,"gemini returned error 404: [{
  ""error"": {
    ""code"": 404,
    ""message"": ""This model models/gemini-2.5-flash is no longer available to new users. Please update your code to use a newer model for the latest features and improvements."",
    ""status"": ""NOT_FOUND""
  }
}
]"
2026-07-16 19:51:06.077268+00,gemini,gemini-2.5-flash,404,"gemini returned error 404: [{
  ""error"": {
    ""code"": 404,
    ""message"": ""This model models/gemini-2.5-flash is no longer available to new users. Please update your code to use a newer model for the latest features and improvements."",
    ""status"": ""NOT_FOUND""
  }
}
]"
2026-07-16 19:50:49.372007+00,openrouter,anthropic/claude-3-5-sonnet-latest,400,openrouter returned error 400: anthropic/claude-3-5-sonnet-latest is not a valid model ID
2026-07-16 19:50:39.568146+00,openrouter,anthropic/claude-3-5-sonnet-latest,400,openrouter returned error 400: anthropic/claude-3-5-sonnet-latest is not a valid model ID
2026-07-16 19:50:38.569354+00,openrouter,anthropic/claude-3-5-sonnet-latest,400,openrouter returned error 400: anthropic/claude-3-5-sonnet-latest is not a valid model ID
2026-07-16 19:50:37.625006+00,openrouter,anthropic/claude-3-5-sonnet-latest,400,openrouter returned error 400: anthropic/claude-3-5-sonnet-latest is not a valid model ID
2026-07-16 19:50:21.452146+00,openrouter,anthropic/claude-3-5-sonnet-latest,400,openrouter returned error 400: anthropic/claude-3-5-sonnet-latest is not a valid model ID
2026-07-16 19:50:20.432603+00,openrouter,anthropic/claude-3-5-sonnet-latest,400,openrouter returned error 400: anthropic/claude-3-5-sonnet-latest is not a valid model ID
2026-07-16 19:50:19.075557+00,openrouter,anthropic/claude-3-5-sonnet-latest,400,openrouter returned error 400: anthropic/claude-3-5-sonnet-latest is not a valid model ID
2026-07-16 19:50:18.045388+00,openrouter,anthropic/claude-3-5-sonnet-latest,400,openrouter returned error 400: anthropic/claude-3-5-sonnet-latest is not a valid model ID
2026-07-16 19:48:05.423269+00,openrouter,mistral-large-latest,400,openrouter returned error 400: mistral-large-latest is not a valid model ID
2026-07-16 19:48:04.775963+00,openrouter,mistral-large-latest,400,openrouter returned error 400: mistral-large-latest is not a valid model ID
2026-07-16 19:48:03.80266+00,openrouter,mistral-large-latest,400,openrouter returned error 400: mistral-large-latest is not a valid model ID
2026-07-16 19:48:02.841528+00,openrouter,mistral-large-latest,400,openrouter returned error 400: mistral-large-latest is not a valid model ID
2026-07-16 19:47:45.228145+00,openrouter,mistral-large-latest,400,openrouter returned error 400: mistral-large-latest is not a valid model ID
2026-07-16 19:47:44.504795+00,openrouter,mistral-large-latest,400,openrouter returned error 400: mistral-large-latest is not a valid model ID
2026-07-16 19:47:43.399497+00,openrouter,mistral-large-latest,400,openrouter returned error 400: mistral-large-latest is not a valid model ID
2026-07-16 19:47:42.712733+00,openrouter,mistral-large-latest,400,openrouter returned error 400: mistral-large-latest is not a valid model ID
2026-07-16 19:45:51.368417+00,gemini,gemini-2.5-flash,404,"gemini returned error 404: [{
  ""error"": {
    ""code"": 404,
    ""message"": ""This model models/gemini-2.5-flash is no longer available to new users. Please update your code to use a newer model for the latest features and improvements."",
    ""status"": ""NOT_FOUND""
  }
}
]"
2026-07-16 19:45:49.881736+00,gemini,gemini-2.5-flash,404,"gemini returned error 404: [{
  ""error"": {
    ""code"": 404,
    ""message"": ""This model models/gemini-2.5-flash is no longer available to new users. Please update your code to use a newer model for the latest features and improvements."",
    ""status"": ""NOT_FOUND""
  }
}
]"
2026-07-16 19:43:16.327176+00,openrouter,anthropic/claude-sonnet-4,402,"openrouter returned error 402: This request requires more credits, or fewer max_tokens. You requested up to 4000 tokens, but can only afford 2407. To increase, visit https://openrouter.ai/settings/credits and upgrade to a paid account"
2026-07-16 19:43:06.082845+00,openrouter,anthropic/claude-sonnet-4,402,"openrouter returned error 402: This request requires more credits, or fewer max_tokens. You requested up to 4000 tokens, but can only afford 2588. To increase, visit https://openrouter.ai/settings/credits and upgrade to a paid account"
2026-07-16 19:43:05.470648+00,openrouter,anthropic/claude-sonnet-4,402,"openrouter returned error 402: Insufficient credits. This account never purchased credits. Make sure your key is on the correct account or org, and if so, purchase more at https://openrouter.ai/settings/credits"
2026-07-16 19:43:04.877492+00,openrouter,anthropic/claude-sonnet-4,402,"openrouter returned error 402: This request requires more credits, or fewer max_tokens. You requested up to 4000 tokens, but can only afford 2407. To increase, visit https://openrouter.ai/settings/credits and upgrade to a paid account"
2026-07-16 19:42:56.721415+00,openrouter,anthropic/claude-sonnet-4,402,"openrouter returned error 402: This request requires more credits, or fewer max_tokens. You requested up to 4000 tokens, but can only afford 2407. To increase, visit https://openrouter.ai/settings/credits and upgrade to a paid account"
